household_id,tariff_rate,billing_tier,subsidy_flag,effective_date
HH-001,42.0,STANDARD,False,2026-01-01
HH-002,42.0,STANDARD,False,2026-01-01
HH-003,32.0,SUBSIDIZED,True,2026-01-01
HH-004,48.0,PREMIUM,False,2026-01-01
HH-005,32.0,SUBSIDIZED,True,2026-01-01
HH-006,48.0,PREMIUM,False,2026-01-01
HH-007,32.0,SUBSIDIZED,True,2026-01-01
HH-008,42.0,STANDARD,False,2026-01-01
HH-009,48.0,PREMIUM,False,2026-01-01
HH-010,42.0,STANDARD,False,2026-01-01
HH-011,42.0,STANDARD,False,2026-01-01
HH-012,32.0,SUBSIDIZED,True,2026-01-01
HH-013,42.0,STANDARD,False,2026-01-01
HH-014,42.0,STANDARD,False,2026-01-01
HH-015,42.0,STANDARD,False,2026-01-01
HH-016,48.0,PREMIUM,False,2026-01-01
HH-017,42.0,STANDARD,False,2026-01-01
HH-018,42.0,STANDARD,False,2026-01-01
HH-019,42.0,STANDARD,False,2026-01-01
HH-020,42.0,STANDARD,False,2026-01-01
